id,sample,library,fq1,fq2,sample_number,cell_type,stage,timepoint,cross,animal_id,slx_identifier,index_true_seq,run,pool,lane_number,date_sorted,rin,rna_qubit_concentration_ng_ul,library_prep_date,rin_category,ddw_ul,library_prep_input_in_ul_10ng,index,library_concentration_from_qubit_ng_ul,average_library_size_according_to_the_bioanalyzer_bp,library_concentration_n_m,comments
SLX-18914.D707rna_D504rna,luminaldifferentiated_t0_cb_M00308040,LIB359,data/raw/reads/NovaSeq_Run_4/SLX-18914/SLX-18914.D707rna_D504rna.H7FT5DSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-18914/SLX-18914.D707rna_D504rna.H7FT5DSXY.s_1.r_2.fq.gz,359,luminal differentiated,nulliparous,t0,cb,M00308040,SLX-18914,D707rna_D504rna,NovaSeq_Run_4,pool_13_16,14,2018-12-03T00:00:00Z,8.9,1.6666666666666667,2020-01-22,hi,2,6,5'7+3'4,1.65,383,6.527415143603133,run out
SLX-18914.D708rna_D504rna,luminaldifferentiated_t0_cb_M00308035,LIB360,data/raw/reads/NovaSeq_Run_4/SLX-18914/SLX-18914.D708rna_D504rna.H7FT5DSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-18914/SLX-18914.D708rna_D504rna.H7FT5DSXY.s_1.r_2.fq.gz,360,luminal differentiated,nulliparous,t0,cb,M00308035,SLX-18914,D708rna_D504rna,NovaSeq_Run_4,pool_13_16,14,2018-12-03T00:00:00Z,10,6.48,2020-01-22,hi,6.45679012345679,1.5432098765432098,5'8+3'4,6.7,395,25.70003835826621,NA
SLX-18914.D705rna_D504rna,luminaldifferentiated_t0_bc_M00308171,LIB355,data/raw/reads/NovaSeq_Run_4/SLX-18914/SLX-18914.D705rna_D504rna.H7FT5DSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-18914/SLX-18914.D705rna_D504rna.H7FT5DSXY.s_1.r_2.fq.gz,355,luminal differentiated,nulliparous,t0,bc,M00308171,SLX-18914,D705rna_D504rna,NovaSeq_Run_4,pool_13_16,14,2018-12-06T00:00:00Z,8.8,7.34,2020-01-22,hi,6.637602179836512,1.3623978201634879,5'5+3'4,2.34,396,8.953168044077135,NA
SLX-19086.D711rna_D508rna,adipocytes_t0_cb_M00308040,LIB287,data/raw/reads/NovaSeq_Run_4/SLX-19086/SLX-19086.D711rna_D508rna.H7FT5DSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19086/SLX-19086.D711rna_D508rna.H7FT5DSXY.s_3.r_2.fq.gz,287,adipocytes,nulliparous,t0,cb,M00308040,SLX-19086,D711rna_D508rna,NovaSeq_Run_4,pool_9_12,12,2018-12-03T00:00:00Z,1,NA,2020-01-15,lo,0,8,5'11+3'8,1.66,508,4.9510856597470765,NA
SLX-19086.D709rna_D508rna,adipocytes_t0_bc_M00308171,LIB283,data/raw/reads/NovaSeq_Run_4/SLX-19086/SLX-19086.D709rna_D508rna.H7FT5DSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19086/SLX-19086.D709rna_D508rna.H7FT5DSXY.s_3.r_2.fq.gz,283,adipocytes,nulliparous,t0,bc,M00308171,SLX-19086,D709rna_D508rna,NovaSeq_Run_4,pool_9_12,12,2018-12-06T00:00:00Z,8.2,11.5,2020-01-15,hi,7.130434782608695,0.8695652173913043,5'9+3'8,6.72,409,24.89442098244054,NA
SLX-19086.D710rna_D508rna,adipocytes_t0_bc_M00308166,LIB284,data/raw/reads/NovaSeq_Run_4/SLX-19086/SLX-19086.D710rna_D508rna.H7FT5DSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19086/SLX-19086.D710rna_D508rna.H7FT5DSXY.s_3.r_2.fq.gz,284,adipocytes,nulliparous,t0,bc,M00308166,SLX-19086,D710rna_D508rna,NovaSeq_Run_4,pool_9_12,12,2018-12-06T00:00:00Z,NA,NA,2020-01-15,lo,0,8,5'10+3'8,1.76,482,5.532503457814661,NA
SLX-19086.D712rna_D508rna,adipocytes_t0_cb_M00308035,LIB288,data/raw/reads/NovaSeq_Run_4/SLX-19086/SLX-19086.D712rna_D508rna.H7FT5DSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19086/SLX-19086.D712rna_D508rna.H7FT5DSXY.s_3.r_2.fq.gz,288,adipocytes,nulliparous,t0,cb,M00308035,SLX-19086,D712rna_D508rna,NovaSeq_Run_4,pool_9_12,12,2018-12-03T00:00:00Z,2.4,2,2020-01-15,lo,3,5,5'12+3'8,5.38,547,14.902221483574317,NA
SLX-19102.D702rna_D508rna,luminalprogenitors_t0_bc_M00308166,LIB348,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D702rna_D508rna.H7FT5DSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D702rna_D508rna.H7FT5DSXY.s_2.r_2.fq.gz,348,luminal progenitors,nulliparous,t0,bc,M00308166,SLX-19102,D702rna_D508rna,NovaSeq_Run_4,pool_13_16,16,2018-12-06T00:00:00Z,8.7,4.4,2020-01-22,hi,5.7272727272727275,2.2727272727272725,5'2+3'8,4.14,388,16.166822867853796,NA
SLX-19102.D701rna_D508rna,luminalprogenitors_t0_bc_M00308171,LIB347,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D701rna_D508rna.H7FT5DSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D701rna_D508rna.H7FT5DSXY.s_2.r_2.fq.gz,347,luminal progenitors,nulliparous,t0,bc,M00308171,SLX-19102,D701rna_D508rna,NovaSeq_Run_4,pool_13_16,16,2018-12-06T00:00:00Z,9.3,4.4,2020-01-22,hi,5.7272727272727275,2.2727272727272725,5'1+3'8,1.37,407,5.1001414637778275,NA
SLX-19102.D703rna_D508rna,luminalprogenitors_t0_cb_M00308040,LIB351,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D703rna_D508rna.H7FT5DSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D703rna_D508rna.H7FT5DSXY.s_2.r_2.fq.gz,351,luminal progenitors,nulliparous,t0,cb,M00308040,SLX-19102,D703rna_D508rna,NovaSeq_Run_4,pool_13_16,16,2018-12-03T00:00:00Z,9.8,1.5999999999999999,2020-01-22,hi,1.7499999999999991,6.250000000000001,5'3+3'8,1.59,407,5.919142282778647,NA
SLX-19102.D704rna_D508rna,luminalprogenitors_t0_cb_M00308035,LIB352,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D704rna_D508rna.H7FT5DSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D704rna_D508rna.H7FT5DSXY.s_2.r_2.fq.gz,352,luminal progenitors,nulliparous,t0,cb,M00308035,SLX-19102,D704rna_D508rna,NovaSeq_Run_4,pool_13_16,16,2018-12-03T00:00:00Z,10,4.6,2020-01-22,hi,5.826086956521738,2.173913043478261,5'4+3'8,20.6,379,82.35388182617734,NA
SLX-18047.D702rna_D501rna,stromal_t0_bc_M00308170,LIB2,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D702rna_D501rna.H73NVDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D702rna_D501rna.H73NVDSXY.s_2.r_2.fq.gz,2,stromal,nulliparous,t0,bc,M00308170,SLX-18047,D702rna_D501rna,NovaSeq_Run_2,pool_1_4,1,2018-12-06T00:00:00Z,8.3,4.8,2020-01-02,hi,5.916666666666666,2.0833333333333335,5'2+3'1,0.5,374,2.025603629881705,NA
SLX-18047.D703rna_D501rna,stromal_t0_cb_M00308038,LIB5,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D703rna_D501rna.H73NVDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D703rna_D501rna.H73NVDSXY.s_2.r_2.fq.gz,5,stromal,nulliparous,t0,cb,M00308038,SLX-18047,D703rna_D501rna,NovaSeq_Run_2,pool_1_4,1,2018-11-28T00:00:00Z,9.3,8.54,2020-01-02,hi,6.82903981264637,1.1709601873536302,5'3+3'1,1.12,390,4.351204351204352,NA
SLX-18047.D704rna_D501rna,stromal_t0_cb_M00308039,LIB6,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D704rna_D501rna.H73NVDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D704rna_D501rna.H73NVDSXY.s_2.r_2.fq.gz,6,stromal,nulliparous,t0,cb,M00308039,SLX-18047,D704rna_D501rna,NovaSeq_Run_2,pool_1_4,1,2018-11-28T00:00:00Z,9.2,6.08,2020-01-02,hi,6.355263157894737,1.644736842105263,5'4+3'1,3.48,400,13.181818181818182,NA
SLX-18047.D701rna_D501rna,stromal_t0_bc_M00308169,LIB1,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D701rna_D501rna.H73NVDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D701rna_D501rna.H73NVDSXY.s_2.r_2.fq.gz,1,stromal,nulliparous,t0,bc,M00308169,SLX-18047,D701rna_D501rna,NovaSeq_Run_2,pool_1_4,1,2018-12-03T00:00:00Z,9.2,6.24,2020-01-02,hi,6.397435897435898,1.6025641025641024,5'1+3'1,1.57,368,6.464097496706192,NA
SLX-18041.D701rna_D503rna,stromal_t0_bc_M00308171,LIB3,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D701rna_D503rna.H73NVDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D701rna_D503rna.H73NVDSXY.s_1.r_2.fq.gz,3,stromal,nulliparous,t0,bc,M00308171,SLX-18041,D701rna_D503rna,NovaSeq_Run_2,pool_1_4,2,2018-12-06T00:00:00Z,8.9,4.6,2020-01-02,hi,5.826086956521738,2.173913043478261,5'1+3'3,0.774,373,3.144040945649525,NA
SLX-18041.D702rna_D503rna,stromal_t0_bc_M00308166,LIB4,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D702rna_D503rna.H73NVDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D702rna_D503rna.H73NVDSXY.s_1.r_2.fq.gz,4,stromal,nulliparous,t0,bc,M00308166,SLX-18041,D702rna_D503rna,NovaSeq_Run_2,pool_1_4,2,2018-12-06T00:00:00Z,8.1,4,2020-01-02,hi,5.5,2.5,5'2+3'3,2.6,384,10.258838383838384,NA
SLX-18041.D703rna_D503rna,stromal_t0_cb_M00308040,LIB7,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D703rna_D503rna.H73NVDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D703rna_D503rna.H73NVDSXY.s_1.r_2.fq.gz,7,stromal,nulliparous,t0,cb,M00308040,SLX-18041,D703rna_D503rna,NovaSeq_Run_2,pool_1_4,2,2018-12-03T00:00:00Z,10,5.7,2020-01-02,hi,6.245614035087719,1.7543859649122806,5'3+3'3,15,374,60.76810889645114,NA
SLX-18041.D704rna_D503rna,stromal_t0_cb_M00308035,LIB8,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D704rna_D503rna.H73NVDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D704rna_D503rna.H73NVDSXY.s_1.r_2.fq.gz,8,stromal,nulliparous,t0,cb,M00308035,SLX-18041,D704rna_D503rna,NovaSeq_Run_2,pool_1_4,2,2018-12-03T00:00:00Z,9.9,9.76,2020-01-02,hi,6.975409836065574,1.0245901639344261,5'4+3'3,0.848,389,3.302952403209473,NA
SLX-18964.D709rna_D506rna,adipocytes_t0_bc_M00308169,LIB281,data/raw/reads/NovaSeq_Run_3/SLX-18964/SLX-18964.D709rna_D506rna.H77FWDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-18964/SLX-18964.D709rna_D506rna.H77FWDSXY.s_2.r_2.fq.gz,281,adipocytes,nulliparous,t0,bc,M00308169,SLX-18964,D709rna_D506rna,NovaSeq_Run_3,pool_9_12,11,2018-12-03T00:00:00Z,3.5,2,2020-01-15,lo,3,5,5'9+3'6,3.36,476,10.695187165775401,NA
SLX-18964.D712rna_D506rna,adipocytes_t0_cb_M00308039,LIB286,data/raw/reads/NovaSeq_Run_3/SLX-18964/SLX-18964.D712rna_D506rna.H77FWDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-18964/SLX-18964.D712rna_D506rna.H77FWDSXY.s_2.r_2.fq.gz,286,adipocytes,nulliparous,t0,cb,M00308039,SLX-18964,D712rna_D506rna,NovaSeq_Run_3,pool_9_12,11,2018-11-28T00:00:00Z,7.6,9.54,2020-01-15,hi,6.951781970649895,1.0482180293501049,5'12+3'6,7.1,425,25.31194295900178,NA
SLX-18964.D710rna_D506rna,adipocytes_t0_bc_M00308170,LIB282,data/raw/reads/NovaSeq_Run_3/SLX-18964/SLX-18964.D710rna_D506rna.H77FWDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-18964/SLX-18964.D710rna_D506rna.H77FWDSXY.s_2.r_2.fq.gz,282,adipocytes,nulliparous,t0,bc,M00308170,SLX-18964,D710rna_D506rna,NovaSeq_Run_3,pool_9_12,11,2018-12-06T00:00:00Z,7.6,2.65,2020-01-15,hi,4.226415094339623,3.7735849056603774,5'10+3'6,3.02,409,11.187671334370602,NA
SLX-18964.D711rna_D506rna,adipocytes_t0_cb_M00308038,LIB285,data/raw/reads/NovaSeq_Run_3/SLX-18964/SLX-18964.D711rna_D506rna.H77FWDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-18964/SLX-18964.D711rna_D506rna.H77FWDSXY.s_2.r_2.fq.gz,285,adipocytes,nulliparous,t0,cb,M00308038,SLX-18964,D711rna_D506rna,NovaSeq_Run_3,pool_9_12,11,2018-11-28T00:00:00Z,4.8,4.8,2020-01-15,med lo,5.916666666666666,2.0833333333333335,5'11+3'6,2.46,475,7.84688995215311,NA
SLX-19101.D704rna_D506rna,luminalprogenitors_t0_cb_M00385475,LIB350,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D704rna_D506rna.H77FWDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D704rna_D506rna.H77FWDSXY.s_4.r_2.fq.gz,350,luminal progenitors,nulliparous,t0,cb,M00385475,SLX-19101,D704rna_D506rna,NovaSeq_Run_3,pool_13_16,15,2020-02-07T00:00:00Z,9.5,6.02,2020-02-12,hi,0,8,5'4+3'6,12.1,372,49.2831541218638,NA
SLX-19101.D702rna_D506rna,luminalprogenitors_t0_bc_M00308170,LIB346,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D702rna_D506rna.H77FWDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D702rna_D506rna.H77FWDSXY.s_4.r_2.fq.gz,346,luminal progenitors,nulliparous,t0,bc,M00308170,SLX-19101,D702rna_D506rna,NovaSeq_Run_3,pool_13_16,15,2018-12-06T00:00:00Z,7.8,2.3,2020-01-22,hi,3.6521739130434776,4.347826086956522,5'2+3'6,1.13,384,4.45864898989899,NA
SLX-19101.D701rna_D506rna,luminalprogenitors_t0_bc_M00308169,LIB345,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D701rna_D506rna.H77FWDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D701rna_D506rna.H77FWDSXY.s_4.r_2.fq.gz,345,luminal progenitors,nulliparous,t0,bc,M00308169,SLX-19101,D701rna_D506rna,NovaSeq_Run_3,pool_13_16,15,2018-12-03T00:00:00Z,9.3,5.96,2020-01-22,hi,6.322147651006711,1.6778523489932886,5'1+3'6,4.46,368,18.36297760210804,"repeated twice, ran out"
SLX-19101.D703rna_D506rna,luminalprogenitors_t0_cb_M00356620,LIB349,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D703rna_D506rna.H77FWDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D703rna_D506rna.H77FWDSXY.s_4.r_2.fq.gz,349,luminal progenitors,nulliparous,t0,cb,M00356620,SLX-19101,D703rna_D506rna,NovaSeq_Run_3,pool_13_16,15,2019-08-07T00:00:00Z,7.3,9.72,2020-02-12,hi,0,8,5'3+3'6,10.9,667,24.760347099177686,NA
